date,price
2025-04-25 00:00:00,93872.81422867288
2025-04-26 00:00:00,94773.11200643536
2025-04-27 00:00:00,94644.06637120107
2025-04-28 00:00:00,93809.33781968223
2025-04-29 00:00:00,95030.60645474444
2025-04-30 00:00:00,94256.35946318062
2025-05-01 00:00:00,94235.75331048167
2025-05-02 00:00:00,96426.94522273027
2025-05-03 00:00:00,96855.5681343944
2025-05-04 00:00:00,95922.86842404422
2025-05-05 00:00:00,94326.62048529249
2025-05-06 00:00:00,94758.8237105546
2025-05-07 00:00:00,96854.53198815876
2025-05-08 00:00:00,97026.49376966801
2025-05-09 00:00:00,103076.27555512934
2025-05-10 00:00:00,102962.54045692299
2025-05-11 00:00:00,104630.8792994166
2025-05-12 00:00:00,103994.061616746
2025-05-13 00:00:00,102876.8304286011
2025-05-14 00:00:00,104184.49039270742
2025-05-15 00:00:00,103594.42575090709
2025-05-16 00:00:00,103708.85136423641
2025-05-17 00:00:00,103556.03493982446
2025-05-18 00:00:00,103212.36483885496
2025-05-19 00:00:00,106030.6376831359
2025-05-20 00:00:00,105629.41580436694
2025-05-21 00:00:00,106786.71995834043
2025-05-22 00:00:00,109665.86371625263
2025-05-23 00:00:00,111560.356938144
2025-05-24 00:00:00,107216.66856870624
2025-05-24 11:30:54,109308.41303789795
